Symbol	TCGA-AA-A004-01	TCGA-AA-3520-01	TCGA-AA-3519-01	TCGA-AA-3977-01	TCGA-AA-A00D-01	TCGA-AA-3692-01	TCGA-AA-3833-01	TCGA-AA-A01X-01	TCGA-AZ-4313-01	TCGA-AA-3819-01	TCGA-AA-3679-01	TCGA-AA-3831-01	TCGA-A6-2683-01	TCGA-AA-3681-01	TCGA-AA-3672-01	TCGA-AA-3866-01
RNF112	0	2.6939	0	0	2.1863	3.054	4.3385	4.6213	2.0513	3.5604	2.9014	0	3.1844	3.4018	3.4123	2.1906
ZC3H14	7.9715	9.3893	9.4226	9.7872	10.2133	10.3716	9.5678	9.5746	8.9273	9.389	8.8551	9.7928	9.2589	9.911	9.3093	9.7152
SPN	7.2384	6.6983	5.1836	6.9107	8.6003	6.9491	6.7909	5.7583	4.4223	6.4898	6.1476	8.39	6.3559	7.8497	8.229	9.4116
HMGCLL1	0	1.6727	1.5673	0	1.1268	2.3387	1.0917	1.1247	0	2.9344	3.1319	1.4272	0	1.135	0	1.8773
LRRTM2	0	2.9193	2.7846	1.533	3.5428	3.3116	2.4659	2.1833	0	3.6585	2.2878	4.0915	1.3885	1.7623	2.0757	1.4764
NUP93	8.7347	10.5327	10.5872	10.6123	10.2958	10.2384	10.1143	10.4646	10.14	10.0521	10.5789	10.5476	10.4751	10.1177	10.2446	10.8063
HAP1	5.6724	0	3.6759	2.2594	3.0184	2.9056	3.3291	2.5167	2.0513	2.9344	2.2878	0.8833	2.0828	3.6962	2.0757	1.4764
KLRA1	0	4.2099	4.0624	5.8054	3.5428	5.2298	2.7347	3.806	1.3631	4.6958	3.8015	4.4108	0	5.251	0	3.7525
CAMKV	0	2.4266	4.367	4.7822	1.1268	7.4148	1.7059	3.015	2.8658	2.1118	4.7488	2.6011	0	1.135	0	5.814
SPPL3	7.6511	10.3668	10.4379	10.2602	10.3815	10.496	10.0169	10.3661	9.6147	10.6019	10.2757	10.6129	9.0369	10.6708	9.9811	10.3219
GOLIM4	8.8948	11.1134	10.5945	11.2518	10.5741	11.3895	9.8642	10.0832	9.974	11.8908	10.7096	10.6528	11.511	10.3549	10.8731	12.1755
ZNF646	9.0389	8.5131	8.4773	7.7983	8.9571	8.5167	8.864	9.6099	8.2723	8.7873	8.4584	8.2449	10.4962	8.7931	9.9579	8.7281
OPA3	9.2312	8.9075	8.4039	8.2748	8.964	8.6006	8.5305	9.3503	8.3986	9.1249	8.7549	8.9923	9.8123	9.1887	9.4353	8.632
OPA1	6.2479	10.3929	10.356	11.0501	10.7737	10.1566	10.4689	10.1432	9.4461	10.8635	10.6757	10.8433	8.4128	10.6655	8.2444	11.1113
RHEB	9.69	10.2051	10.7005	10.5462	10.0729	10.0491	9.6874	9.7958	10.5103	10.0062	11.1954	9.9476	7.9291	10.3939	8.9733	10.3179
RAB40C	11.2592	9.786	9.7791	9.2591	9.4622	10.098	10.1392	10.5062	10.5181	10.1887	10.419	9.9985	11.5721	9.5083	10.6802	10.1795
RAB40B	8.1085	7.6129	6.8191	8.6864	10.0808	9.1568	8.5952	8.5653	9.0264	8.7798	9.981	8.4152	9.3113	9.3507	8.8581	8.8399
RAB40A	0	2.4266	1.5673	2.2594	2.1863	3.5301	2.1354	3.9229	0	3.2181	3.3306	0.8833	2.9016	2.5322	0	3.0233
COL7A1	10.5028	8.9464	8.4852	9.0636	7.857	7.7717	9.785	7.7853	9.6631	8.5846	8.4424	6.7242	8.066	8.6756	9.5511	9.1471
