Symbol	Lung-60-2710-01	Lung-18-4086-01	Lung-22-4613-01	Lung-37-4132-01	Lung-22-4591-01	Lung-18-3410-01	Lung-64-1680-01	Lung-21-1070-01	Lung-66-2780-01	Lung-66-2787-01	Lung-66-2766-01
NUP93	-1.359083333	-0.804	-0.100545455	-1.026583333	0.03025	-0.863833333	-1.024666667	-1.124333333	-0.90575	-0.851583333	-0.386083333
SP5	-3.069416667	-2.754666667	-4.089833333	2.746416667	-2.99225	-2.37675	-1.529	-3.5455	-3.805916667	-3.390333333	-1.62025
KLRA1	-1.3005	-0.76	-1.2515	-0.5915	0.1645	-0.2305	0.511	-0.186	-0.7535	-0.5055	-0.4665
SP7	0.1045	0.4615	-0.666	0.5715	0.602	-0.5275	-0.1955	0.019	0.508	0.9675	0.7165
OR5B3	-0.9055	0.517	1.099	0.3465	0.3245	-0.0025	0.966	0.3465	0.1965	-0.055	0.464
GOLIM4	2.254166667	1.623333333	-0.805666667	1.686833333	0.5635	0.546166667	-0.2315	2.104333333	1.774666667	1.826666667	1.361333333
VIL2	1.623666667	1.105416667	1.535666667	0.149416667	1.761	2.049166667	1.397333333	1.124916667	1.47475	1.65425	0.765416667
OPA3	0.91375	0.718625	0.2145	0.8825	-0.073875	1.1695	0.623	0.59675	0.689375	0.603875	0.32925
OPA1	0.666125	0.4895	1.5225	-0.48025	0.459375	-0.11975	-1.17675	-0.002125	0.465625	0.746375	0.4255
RAB40C	0.544	-0.0675	-0.208272727	-0.772083333	0.108583333	0.104666667	1.293666667	-0.141416667	0.01725	0.000166667	-0.20425
RAB40B	1.246	1.8375	2.0085	0.713	2.142	-0.156	0.7415	0.2395	0.5435	1.839	0.7325
RAB40A	-1.1065	-0.435	1.3075	-1.066	-0.9895	-1.064	-1.4305	-0.7935	-0.326	-0.9705	-0.745
CBX1	0.6443	0.4	-1.1573	0.5417	-0.5766	-0.7104	-1.2794	-1.2083	-1.2746	0.7949	0.866
FBL	-0.919666667	-0.883166667	-0.604833333	-1.322333333	2.621166667	-0.581	-1.646833333	-0.199333333	-0.511833333	-0.243333333	0.93
MGC39606	2.21775	0.77625	0.897	-0.6135	1.0715	-0.27525	2.03825	0.37025	0.27575	1.94675	1.79275
ARTS-1	-0.2698	-0.399555556	-0.9332	-1.2998	-0.7014	1.2942	1.0983	-0.3172	-0.2182	-0.6904	-0.1567
GTSE1	-1.069166667	-1.475166667	-2.179	-2.580333333	-1.1575	-1.224166667	-3.0935	-1.238166667	-1.703	-1.4115	-1.657833333
ARFRP1	-0.787666667	-0.778166667	-0.5895	-1.160833333	-0.845833333	0.092833333	-0.957166667	0.189	-0.275166667	-0.646333333	-0.658
OVCH1	0.081333333	0.3295	0.677	-0.003333333	0.695833333	0.582833333	0.09	0.003666667	0.067	0.373333333	-0.0755
B4GALNT1	0.326166667	1.523166667	-0.290833333	-0.210666667	-0.51	0.473833333	-2.11	1.035166667	-0.729	1.142333333	0.534166667
KIAA0831	-0.309875	-0.244125	0.520428571	-0.00575	-0.06325	-0.195	-0.06325	0.50025	0.494625	-0.379625	-0.1215
SPPL2A	1.157833333	0.316666667	0.975333333	0.312	0.450333333	1.942666667	0.449166667	0.070833333	1.267333333	0.757333333	0.694333333
SPPL2B	0.8151	1.265	-0.6079	1.6247	-0.5386	0.961	0.0592	0.7697	0.5217	0.759	0.431
ITGA8	1.54575	0.378	-0.86625	0.60025	0.1405	-0.3325	1.3515	0.1205	0.61425	1.001	-0.4625
ITGA9	1.066666667	0.080666667	-0.221666667	0.419666667	0.524	-0.515	1.679166667	0.9485	0.572	0.3455	0.224
UGCG	1.2715	1.388666667	-2.1032	0.637166667	0.491833333	0.358333333	0.257833333	0.462833333	0.976166667	0.661833333	-0.582
MYO3B	-0.70625	-0.252666667	0.519	-0.0925	3.0245	1.30425	0.0045	-1.04525	-0.78975	-1.559	-0.631
ATP2A1	0.03525	1.0085	0.02375	0.84125	-0.01375	0.08175	0.074	0.2625	0.2065	0.08975	0.28625
ATP2A2	0.692214286	0.521642857	-0.0225	-0.249285714	0.255285714	-0.412571429	-0.172785714	0.964214286	0.342571429	0.579785714	-0.246428571
ATP2A3	-1.1362	-0.9352	-1.012222222	-0.8707	-1.1347	-0.9055	-1.2204	-0.4395	-1.41	-0.7252	-1.3681
ITGA1	-0.0556	-0.1711	-1.3649	-0.4405	-0.1438	-0.7682	-0.6106	-0.211	0.2535	-0.2653	-0.7201
ITGA2	1.84825	1.009666667	-1.599363636	-0.601666667	-0.878166667	-1.61775	-0.608583333	1.84175	3.155583333	0.497083333	0.314833333
ITGA3	0.060375	-0.8805	-1.616375	-2.61	-1.10975	-1.001	1.397625	1.588625	-0.0695	-1.341875	-0.872625
SUGT1L1	0.543	0.1065	0.153	0.34025	0.02625	-0.77825	1.00925	0.18525	-0.419	-0.234	0.9205
RIT2	-0.5045	0.3075	-0.4725	-0.16275	0.05225	-0.252	0.11925	-0.2965	-0.214	-0.206	-0.268
RIT1	2.152583333	2.548916667	1.75475	1.398333333	1.9625	0.646416667	0.952666667	0.986833333	1.211333333	3.19425	2.423083333
ITGA7	-1.2989	-0.9368	-1.3495	-0.951777778	-0.913	-1.4385	-0.3492	-0.4353	-1.7992	-1.0761	-0.9035
TRHR	-0.131625	0.243625	0.1035	0.36	0.277	-0.035625	0.8075	0.113875	0.442875	0.07475	0.34275
DENND4A	0.329125	-0.406625	-0.2275	-0.27125	-0.06325	0.9705	-0.15875	-0.49475	-0.528625	1.218375	-0.283375
DENND4B	-1.24825	-1.30975	-0.71375	-0.723	-1.19725	-1.0225	-1.69575	-0.09075	-0.99875	-0.3705	-1.10775
DENND4C	-0.527	-0.90825	-0.872333333	-0.26325	-1.277	-0.4425	-0.2395	0.64675	-0.51425	-0.0475	-0.59475
SWAP70	2.14125	1.18075	0.6255	-0.367	1.3135	-0.04875	-0.0985	0.613	0.7135	0.7405	0.9805
RARRES1	4.11775	4.0095	4.10375	3.175	5.414	3.70025	3.1075	5.48625	5.043	4.0355	5.069
PHLDA1	-0.870555556	-1.533333333	-1.995529412	-0.793888889	-2.811833333	-2.724277778	-2.062666667	-0.246555556	0.268666667	-2.106055556	-1.342333333
PHLDA3	0.45875	1.13425	-0.25075	-0.9825	-0.012	1.09525	1.31975	2.01575	2.18725	0.2755	0.194
PHLDA2	0.4381	0.1701	-0.6911	-0.3093	-1.0381	-1.1653	0.4067	0.4909	0.2462	-1.9505	0.6676
GAP43	-1.6025	-3.0505	-1.365	-2.082	-2.298	-0.0015	-2.838	-3.7445	-2.8025	-2.338	-1.9695
FBXL11	-0.0905	-0.69	0.009	-0.778333333	0.251	0.397833333	-0.806	0.598833333	-0.136833333	0.0335	-0.617166667
FBXL10	-0.7045	-1.501	-0.992666667	-1.3885	-1.052666667	0.925833333	-2.037333333	0.018	-1.007	-0.694833333	-1.509333333
HRH4	0.17475	0.45675	1.12	0.6545	0.407	0.1485	0.706	0.6455	0.85725	0.2775	1.31325
FBXL12	-0.495	0.045166667	0.022	-0.849333333	0.133	0.471333333	0.4305	-0.473666667	-0.429666667	0.026166667	0.447333333
HRH2	0.1555	0.5135	-0.3145	0.5235	0.0395	0.358	0.287	0.378	0.4205	0.3365	0.1325
CYP27B1	0.077	-0.61575	0.26275	-0.9145	0.2955	1.0555	0.678	1.48075	-0.8045	0.368	-0.5
FBXL17	1.793	2.571	-0.84525	2.884	-0.18425	1.88975	1.0845	1.52475	1.70825	1.59075	1.44325
HRH1	-0.3615	0.0495	-0.429833333	-0.68	-1.7765	-0.796333333	0.7265	1.355	1.474333333	-0.964166667	0.396333333
FBXL19	-0.7955	-0.7965	-0.7135	-0.5605	-0.835	-1.5985	-1.1615	-1.0565	-0.1765	-0.638	-0.378
FBXL18	-1.168166667	-1.0055	-1.066333333	-0.923	-0.5685	-1.479333333	-1.288	0.629166667	-0.652	-1.251833333	-1.481
FAM116A	0.11	-0.21075	-0.48375	-0.328	-0.4495	-0.39625	-0.73725	0.05325	-0.247	0.017	-0.416
LRRC7	0.161	0.138	-0.494	-0.172	0.092	-0.456	-0.9615	-0.1595	-0.845	-0.5135	-0.3185
GHDC	-0.582	-0.8715	-1.132833333	-0.263666667	-1.087333333	-0.9755	0.531166667	-0.314833333	-1.346833333	-0.637833333	-0.445666667
SDK1	1.483	1.5075	-0.049125	0.587625	1.2005	0.892375	0.6535	0.927875	0.577375	1.506875	0.94325
SDK2	0.876	0.42675	-0.147	0.34	-0.182	0.52925	-0.062	0.44575	0.24025	0.798	0.10225
GRP	5.79925	5.317	4.3495	8.133	1.52625	0.94975	2.61075	0.8185	5.3185	0.89025	1.15825
IL13	0.0671	0.265111111	-0.741555556	0.1115	-0.3485	0.724333333	0.4072	0.0094	0.0434	0.1503	0.0088
THSD4	0.030666667	0.001	-1.901	-0.2525	-0.5065	-2.148333333	-0.9825	-0.292833333	0.102666667	-1.053	-1.3115
LOC440093	0.48375	0.403	0.8245	-0.115	0.626	0.97775	0.23225	-0.298	-0.393	0.14025	-0.172
HPCAL4	-0.262	0.4262	0.235666667	-0.076833333	0.126	-0.449333333	1.454666667	-0.045666667	-0.6025	-0.508166667	-0.421666667
ZNF709	-0.45125	-0.4	-0.3325	-0.2195	-0.5265	0.243	0.2165	-0.86375	-0.65325	0.087	0.28775
THSD1	0.211	1.12	-0.272	-0.03375	-0.0515	-0.01275	0.4515	1.075	1.3175	-0.3755	1.971
ZFP161	0.412166667	-0.269166667	-0.359833333	-0.312666667	0.9315	0.528	1.0095	0.161	-0.165833333	0.35	-0.117333333
COL4A6	0.846333333	0.922833333	-1.434666667	0.609333333	1.444333333	-3.823	-3.509333333	0.158333333	0.691333333	-3.037166667	-1.286
COL4A5	1.028	1.1639	0.5533	0.9541	0.5036	-0.8169	-1.1984	0.0505	0.8454	0.2285	-0.1333
COL4A4	1.698	-0.1095	-0.2	0.8345	-0.566	3.4625	1.3755	1.809	-0.741	0.6765	-0.12
COL4A3	0.649666667	0.200833333	-0.304333333	0.262666667	0.425666667	1.5905	0.398666667	0.385333333	-0.619	-0.000666667	-0.788333333
COL4A2	0.8875	1.02975	-1.076	0.44725	-0.24975	-0.181	-0.996	1.96075	0.4555	1.043	0.57025
COL4A1	2.457625	1.4454375	0.9149375	1.18375	1.1239375	1.0356875	0.2139375	2.1374375	1.59275	1.8989375	1.2515625
OR8J3	-0.3935	0.577	-0.4785	0.5165	0.199	-1.133	-0.1265	0.0085	0.0865	1.0715	-0.2575
GRN	0.5185	0.27775	-0.04175	-0.32125	-0.20925	-0.5755	-0.526	1.259	-0.40425	0.64825	-0.1075
CHST3	1.46375	-0.78875	0.212	-2.255333333	-1.7415	1.07575	0.8995	0.90125	-0.52525	-0.88975	-1.194
CHST2	1.7735	1.728	-0.382	0.05875	0.72425	3.48175	-0.10375	-0.259	0.87775	2.7305	1.7945
CHST5	-0.27625	0.33625	0.214	0.13075	0.508	-0.29	-0.016	-0.5635	0.31575	-0.45875	0.1255
CHST4	-2.191	-1.09725	-0.4305	-1.23725	-0.84575	-2.3695	0.3265	-1.5585	-0.0405	-1.547	-1.44975
CHST7	2.298666667	2.310333333	2.764833333	0.415166667	-0.094833333	0.3635	-0.543666667	1.0315	0.32	2.682166667	2.3785
CHST6	-2.059	-0.7095	-1.077	-2.617	2.065	-2.473	1.1755	0.0255	1.385	-1.6715	0.279
ITGAX	2.2892	1.1482	1.5311	1.3514	1.2873	1.7175	1.5324	2.3264	1.512	2.2634	0.6544
MLNR	-0.63	0.083	1.207	0.2675	-0.1255	-0.4515	-0.672	0.081	0.056	0.4715	0.352
HLX	-0.425833333	-0.510666667	-0.534333333	-0.9925	-1.444166667	-1.027166667	-1.850333333	-0.461666667	-0.2305	0.011833333	-0.4015
HLCS	0.20575	-1.002	-0.52075	0.67425	-0.89375	0.289	0.215	0.103	-0.64825	-0.929	-0.35425
NOG	-1.56	-1.4265	-0.777	-1.845	-0.5775	-1.532	-1.8405	-1.3305	-0.7965	-1.4365	-1.3315
VSTM3	4.99225	3.07075	3.8355	3.84925	2.06125	5.43975	2.78425	4.838	2.9375	5.102	2.77175
HIBCH	-0.241833333	0.051	-0.660333333	-1.2945	-0.028333333	0.448166667	-0.144166667	-0.519166667	-0.584666667	-0.0455	-0.623833333
CAMK1	-0.72725	-0.83675	-1.158333333	-0.771	-1.02425	-0.8945	-0.0295	-0.57025	-1.21325	-0.354	0.79525
GPR114	1.081166667	0.569333333	0.315	0.758333333	0.366833333	0.959833333	0.702833333	2.391333333	1.027666667	1.433	-0.241666667
LOC388969	0.111	-0.20575	0.816	0.87875	1.45425	1.303	0.66975	-0.082	0.59425	0.64875	0.551
ITGAM	2.779	1.486666667	1.4145	1.661333333	1.159666667	3.216	1.837833333	3.200333333	1.9605	2.351	1.437166667
LOC388965	0.14525	0.42475	0.586	1.27975	0.76425	0.65475	0.88825	-0.49925	0.7785	0.24875	1.7365
HLF	0.5658	-0.4229	-0.7469	-0.423	-1.1502	-0.1089	-0.1105	-0.6961	-1.1875	-0.5416	-0.5789
NOV	-0.436	0.2285	-0.565625	-1.42475	-0.41	1.4255	-0.83025	-1.4415	-0.691625	-0.771625	1.08475
GPSM1	-0.2915	0.297	-1.379	-0.341	-0.5545	-0.7545	-0.22	-0.6305	-0.155	0.0495	-0.635
ITGAD	0.929	0.303	1.80675	0.66225	1.30675	1.2655	0.295	1.2435	0.6955	1.396	0.8245
FAM134B	1.049125	0.32125	-1.54925	1.0455	1.671375	0.5015	0.79575	0.033875	-1.017125	-0.012375	0.884125
FAM134A	0.0425	-0.934166667	-0.083333333	0.113	-0.545833333	-0.4825	0.183	-0.338333333	-0.286666667	-0.323166667	-0.878166667
ZNF700	-0.702833333	-0.687	-1.0424	-0.844	-1.616833333	0.023833333	-0.525333333	-0.775166667	-1.036833333	0.179666667	-0.039166667
SMAD9	-1.63725	-1.01425	-1.78875	2.1775	-0.38325	-1.85175	-2.04675	-2.20325	-1.75	0.39275	0.1015
TRERF1	-0.160833333	-0.025666667	0.048	-0.824	0.963666667	0.997833333	-1.213333333	2.179	0.361	0.043333333	0.554333333
EEF2K	-0.04175	-0.670625	-0.52175	-1.07	-0.06725	0.180625	-0.428375	-0.066875	0.175625	-0.643375	0.0575
SMAD4	1.0205	1.00725	-0.95175	1.27575	1.144875	1.100375	1.21925	-0.2765	-0.620125	1.321625	0.79275
LQK1	-2.94525	-0.0605	0.38825	-0.57525	1.9305	-1.94875	-0.402	-1.071	-0.39625	-0.6985	0.3745
SMAD6	-1.02775	-1.63025	-1.4485	-1.71275	-1.41925	-1.0845	-1.411	-2.06875	-1.501	-2.04125	-1.79675
SMAD7	-0.4165	-0.60075	-0.368	-0.37375	-1.10125	0.445	-0.05025	-0.19675	-0.5565	-0.5845	-1.54225
GOLPH3L	0.29625	0.10725	0.245875	0.099	1.383125	0.766125	1.422875	0.556625	0.898375	0.8265	0.77875
SMAD1	2.2954	1.7273	-0.3898	0.6551	1.5895	2.8066	1.7478	1.4199	1.6482	1.5366	1.9132
AFTPH	1.1655	0.582375	1.281933333	0.4524375	2.4239375	1.2465625	0.7108125	1.064	1.0360625	1.698625	1.3088125
SMAD3	0.8082	0.0943	-0.6615	-1.3237	0.0955	-1.1604	-0.6934	0.5229	1.0623	-1.372	0.1963
RFK	-0.351375	-0.075	-0.66175	1.42025	-1.67675	-0.41425	0.314625	-0.81075	-0.166625	-0.262875	0.159625
AMMECR1L	-0.1171	-0.2651	-0.921666667	-0.1861	-0.2845	-0.258	-0.3424	-0.0621	0.1118	0.0386	-0.0432
KIAA1505	1.29225	0.87775	0.4035	0.03475	0.74325	2.89075	2.1255	1.26025	0.58825	-0.2205	-0.431
PSCD2	0.51825	-0.2995	-0.41425	-0.331	-0.46125	0.08225	0.37	0.63775	0.48075	0.77675	-0.521
RAB10	0.94925	0.7355	0.866125	0.2125	0.63575	0.941625	-0.14925	1.613375	1.33575	1.21925	0.365375
IL1RAPL1	-1.766666667	-1.24175	-0.863333333	-0.08775	-0.58725	-1.721	-1.3835	-1.3175	-0.98775	-1.53975	-0.85925
TMPRSS11B	5.87175	0.17125	0.800333333	1.349333333	0.01775	-0.30425	-0.23625	1.5495	0.077	0.546	0.20725
IGF2R	0.6572	0.2755	-1.9392	-0.5084	-0.968	0.464	-0.8315	0.4717	-0.3725	0.681	-0.1241
TMPRSS11D	5.018	4.369	4.955	0.003	0.1495	1.588	0.163	4.2	4.4815	0.949	3.39
TMPRSS11F	3.75875	1.06825	1.389	0.94625	0.17725	0.338	-0.22225	2.461	1.201	3.62925	2.9075
PLRG1	0.0335	-0.46575	-0.47025	-0.03775	0.094	0.5375	0.05075	0.16375	-0.13775	0.26375	0.7685
SLC36A3	-0.3365	0.842	0.603	0.7775	0.066	-0.143	1.16	0.264	0.8655	0.044	0.336
CKS1B	-0.1114	0.3291	1.1406	0.2385	-0.3968	0.5156	-0.8789	-0.1884	0.3024	0.6047	0.552
SLC36A1	-0.068666667	0.09825	1.711666667	0.038333333	-0.158	0.54975	0.466	0.10675	0.11225	0.229	0.0365
LOC388272	-1.05675	-0.26325	-0.02775	0.04575	1.11025	-0.5475	-0.79725	-1.08975	-0.43875	-0.96875	-0.40225
ST13	0.572666667	0.138083333	-0.144	-0.822833333	1.206583333	-0.077666667	0.568666667	-0.629333333	0.649333333	0.710333333	0.070583333
C14orf115	-3.766125	-2.894125	-1.950875	-2.812375	-3.05225	-3.020625	-3.686125	-3.475	-3.29175	-3.599375	-2.790625
C14orf112	-0.2395	0.528	0.8285	0.810166667	1.252166667	0.486	0.328833333	0.246166667	0.16	-0.052333333	0.775833333
NSBP1	-2.235	-2.06375	-1.15175	-3.754	-2.00325	-1.67	-0.84925	-3.10475	-2.2015	-2.7835	-1.556
HYI	0.1785	0.079	-0.1305	0.5925	0.104	0.182	0.7975	0.6365	0.634	0.24	0.697
ERICH1	-0.333375	0.963125	-1.70525	-0.47	-1.590125	3.816	-0.2715	-0.0825	-0.208375	-0.544	-0.00575
ARTN	2.363333333	2.881166667	0.6715	2.576166667	0.618833333	1.237833333	0.6155	2.1515	1.5875	2.411	2.313333333
ART1	0.181	0.0835	-0.343	-0.3205	-0.4655	-0.3875	-0.5145	-0.1215	-0.042	0.2175	-0.307
HRH3	0.1508	0.1125	-0.038111111	0.058	0.193	-0.1195	0.5584	-0.173	0.1569	0.1633	0.3222
ART3	-4.145166667	-3.803	-2.6354	-2.1225	-3.007166667	-2.026	-3.5366	-0.906333333	-0.449	-3.967166667	-2.440333333
HERC2P2	-1.212666667	-1.066166667	-2.147833333	-0.736833333	-1.424166667	-0.246833333	-2.0015	-0.235166667	-1.9965	-0.547833333	-1.581
ART5	2.012375	0.193375	1.932142857	0.571875	0.381375	-0.796625	-0.811875	-1.589625	-1.26775	1.842375	-1.183125
ART4	-0.195166667	-0.463	-0.0516	-0.558666667	-0.244333333	-1.684833333	-0.265166667	-1.007	-1.494166667	-1.602833333	0.146833333
C21orf82	0.0875	-1.378	0.023	0.0025	-0.0145	1.056	1.223	-0.0025	0.37	-0.9005	-0.1675
SPTLC1	1.1045	0.46575	0.124875	0.647625	-0.906375	0.7505	0.196375	-0.039	0.86475	0.3615	-0.345625
TCEA2	0.2679	0.4558	-1.6681	0.3741	-0.1996	0.1177	-0.0464	-0.2774	-0.2071	0.3985	0.518
TCEA3	2.1075	1.361583333	2.331916667	1.071583333	1.39025	-0.132666667	3.145333333	1.585916667	1.047333333	0.687833333	1.296916667
TCEA1	-0.1259	0.0494	-1.1952	0.4245	0.7541	-0.1045	0.5594	-0.0272	-0.2901	-0.1489	-0.5401
COX4I2	3.25125	1.1275	0.256	3.28575	1.68325	2.7375	2.75225	2.31925	1.24	2.22475	2.00575
COX4I1	-0.749642857	0.453357143	0.183785714	0.133142857	0.021571429	-0.379642857	-0.024285714	-0.579071429	0.093357143	-0.400357143	0.411285714
BFAR	-0.24575	-0.687375	-2.8735	-0.35475	-1.18825	-0.757	1.120125	-1.06025	0.153375	-0.667375	-0.042625
CRTAM	4.385333333	1.007333333	2.49925	2.3115	1.6865	4.007	2.916	4.2245	1.718666667	5.049333333	1.922166667
EDA	-1.1185	-0.912	0.34825	-0.78425	0.58775	1.082	0.44825	1.3055	1.1345	-0.8495	-0.584
PIPOX	-1.736	-0.6655	0.034	-0.2665	-0.504	-0.4995	-1.3645	-1.7	-0.996	-1.6335	-1.2045
CCDC116	-2.504	-1.923	-0.378	-2.635	-1.6275	-2.3705	-3.067	-2.0625	-1.0435	-3.3145	-0.3775
CADPS2	1.0325	-1.23675	-0.44475	0.86425	0.95875	1.44275	3.3055	-0.0495	-0.05725	-0.4835	-1.38425
CCDC114	0.205333333	0.688166667	0.301666667	0.196833333	0.407666667	0.2985	0.819833333	0.140666667	0.519833333	0.301833333	0.423333333
CCDC115	0.466875	0.571	1.676	-0.444375	0.7225	-0.047	1.321125	0.37925	1.125625	0.26925	0.44675
CCDC112	-2.039666667	-1.730833333	-1.8115	-1.190333333	-2.1585	-1.376833333	-0.4875	-1.338833333	-1.9455	-0.837833333	-1.617833333
MCF2L	0.835083333	0.5545	0.038833333	0.543333333	-0.029083333	0.828333333	0.448416667	1.097083333	-0.332	0.488916667	0.210666667
