NAME	Ratio	P.value
C22orf28	0.168588462	0.003721244
PMS2L5	0.166584615	0.001837258
TMEM131	0.161407692	0.005505157
INPP5D	0.160280769	0.006243592
TIAL1	0.1595	0.007111142
CHD7	0.156953846	0.000996828
FABP5	0.155015385	0.002118819
DEPDC6	0.150388462	0.009727717
CDC5L	0.149338462	0.008692277
TRIP12	0.149096154	0.002685394
RBMX	0.147865385	0.000798045
VASH1	0.144984615	0.009927515
GPRIN3	0.142134615	0.002567431
PIK3CB	0.140811538	0.001731352
BUB3	0.140007692	0.002711931
FAM21A	0.134057692	0.007833582
GORASP1	0.13375	0.008081291
IPO7	0.1328	0.002422651
CRBN	0.129057692	0.00641205
ARHGEF5	0.128507692	0.006189153
IL1B	0.126953846	0.009020711
DMWD	0.122676923	0.003683221
MANBA	0.122073077	0.008913648
ARIH1	0.118507692	0.005991319
SLC22A15	0.118346154	0.000733514
SETD2	0.118203846	0.008869497
GPR89A	0.116869231	0.004937446
ZNF131	0.115630769	0.003360437
PLAUR	0.111996154	0.008735946
BAGE5	0.111696154	0.005024745
AKAP10	0.11045	0.003915925
PMS2L3	0.108965385	0.00519953
C19orf64	0.106061538	0.008673591
JMJD2C	0.105642308	0.003790569
ZNF224	0.105465385	0.00367954
GDA	0.105269231	0.002570255
TRIM78P	0.102957692	0.004120599
OR2Y1	-0.100988462	0.001018668
C8orf77	-0.102426923	0.005662245
SNORD5	-0.103242308	0.001075007
PGF	-0.103669231	0.004667661
SERPINB13	-0.105323077	0.001158719
DND1	-0.107492308	0.002256039
RFPL4A	-0.107992308	0.006802345
DDX19-DDX19L	-0.110934615	0.005094157
NUDT8	-0.111361538	0.006811764
POLR3H	-0.112361538	0.006523457
METTL10	-0.113992308	0.006472634
FIZ1	-0.11495	0.001260047
MYEF2	-0.115215385	0.004395503
EMX2OS	-0.115303846	0.008183027
MTMR9	-0.117796154	0.007204713
COPS6	-0.119157692	0.003310031
PXN	-0.121569231	0.00911232
KCNC4	-0.123419231	0.006247812
PTAR1	-0.123507692	0.009903984
BBS7	-0.124273077	0.006599465
THRAP5	-0.126219231	0.00436064
C15orf29	-0.126315385	0.003492991
RPS10P3	-0.126873077	0.007766388
COG6	-0.128807692	0.006765117
RBM12	-0.128853846	0.004022743
VCPIP1	-0.128980769	0.002465277
ERCC2	-0.130176923	0.005664931
PREPL	-0.132519231	0.00985458
TMEM70	-0.132853846	0.008165903
NANS	-0.134519231	0.007252575
FBXW2	-0.134630769	0.000768425
DRG2	-0.135615385	0.007170174
MRPS36	-0.13605	0.002889004
UCK1	-0.137234615	0.005114179
ADSL	-0.13775	0.004008503
NXT2	-0.137784615	0.009011975
FLJ33590	-0.141384615	0.005258786
STRN	-0.142857692	0.004753097
C14orf174	-0.142876923	0.006508167
EXTL3	-0.143546154	0.008102129
ZNF280D	-0.143934615	0.008041401
TP53I11	-0.146165385	0.000889142
SNORA2B	-0.146503846	0.008887516
NPM3	-0.148396154	0.001323548
TLE2	-0.148723077	0.001720694
GFM1	-0.149326923	0.009803969
SPTBN2	-0.149415385	0.009837313
NDUFS8	-0.150115385	0.006018206
ERI3	-0.150526923	0.004780995
GMPPA	-0.153576923	0.005337347
C19orf56	-0.153692308	0.008387406
SNTA1	-0.154023077	0.0002439
ZNF428	-0.15465	0.000514126
SPAG7	-0.155042308	0.007805276
WDR34	-0.155738462	0.006134617
B3GALT6	-0.156557692	0.006149421
C19orf28	-0.157011538	0.003469789
RDBP	-0.157465385	0.000708609
DDOST	-0.160473077	0.005165312
ST3GAL3	-0.162696154	0.002393516
PGRMC2	-0.163119231	0.006746618
DCAF10	-0.16445	8.15094E-05
C19orf48	-0.168592308	0.00725153
PHLPP1	-0.169711538	0.004337095
NME2	-0.170569231	0.002257631
MRPL17	-0.171807692	0.007717271
CHCHD4	-0.171834615	0.002117167
SUV39H1	-0.171976923	0.002144923
TREML1	-0.173215385	0.002718849
RPL5	-0.173730769	0.004127219
NME4	-0.174273077	0.008833098
CNPY2	-0.174953846	0.008656816
COMMD1	-0.176353846	0.006805562
RPS6KB1	-0.176880769	0.008861541
MTRR	-0.177742308	0.005652364
TBC1D3F	-0.178265385	0.002483392
ZBED3	-0.179665385	0.005825892
FAM108B1	-0.180746154	0.001949444
PKN1	-0.180888462	0.000361493
NUDT15	-0.183311538	0.001295129
FAM89B	-0.184261538	0.008377855
TMEM218	-0.188619231	0.000486843
TMEM41B	-0.188830769	0.004769386
ATG5	-0.190338462	0.000665923
UBE3A	-0.191715385	0.007965264
PSMD8	-0.192453846	0.001938427
R3HCC1	-0.192938462	0.005669092
GABARAP	-0.195184615	0.003957899
C16orf58	-0.196188462	0.001785251
FAM104B	-0.196780769	0.001349775
FAM96B	-0.197473077	0.002081999
CLDN14	-0.200146154	0.00491604
C21orf45	-0.200780769	0.004817893
NDUFAF3	-0.200803846	0.001398509
SPHAR	-0.201173077	0.000986231
FRAG1	-0.203457692	0.002975016
PNPLA8	-0.205357692	0.001148673
SLC2A4RG	-0.205515385	0.007060709
PFDN6	-0.205607692	0.001054516
MRPL41	-0.209234615	0.006984914
PJA2	-0.209480769	0.004275528
DICER1	-0.2104	0.001705809
CARHSP1	-0.210623077	0.002640336
MRPL12	-0.213807692	0.008597166
B3GAT1	-0.214038462	0.002378547
ATP5I	-0.215169231	0.006470575
SHMT2	-0.216819231	0.005562109
EPB41L1	-0.216953846	0.002068876
C19orf53	-0.219338462	0.000711455
ARMC1	-0.220038462	0.003492406
CTGLF7	-0.221788462	0.006922843
TSC22D4	-0.224476923	0.007777823
TMEM141	-0.224696154	0.006272244
NR2F6	-0.230453846	0.007134983
TMEM47	-0.233088462	0.003016737
GLTSCR2	-0.238869231	0.001294853
GLTPD2	-0.243869231	0.008098299
PBX3	-0.244684615	0.000556462
TUBE1	-0.245461538	0.004902568
IMP4	-0.247165385	0.000151402
TMEM170B	-0.24985	0.002390614
HDHD2	-0.253296154	0.000313259
B3GNT1	-0.254907692	0.004470794
ST13	-0.256334615	0.001991431
HPCAL1	-0.259461538	0.002156882
HINT3	-0.261034615	0.003037354
ABCB6	-0.265080769	0.004516237
C21orf34	-0.266373077	0.008570976
COX6C	-0.269646154	0.009713426
COBLL1	-0.272126923	0.008143153
SNORA28	-0.276273077	0.008906887
VEGFB	-0.289284615	0.005457488
TP53TG1	-0.295542308	0.002748402
VSNL1	-0.295857692	0.006738648
PPP2R2B	-0.298626923	8.93199E-05
FOXRED2	-0.302315385	0.000169708
DBT	-0.317734615	0.006565576
LCAT	-0.348038462	0.005229519
EIF3E	-0.349819231	8.77881E-05
LIME1	-0.356026923	0.002409551
WDR72	-0.362269231	0.001469678
IQGAP2	-0.365619231	0.001632322
MGC10997	-0.367853846	0.002176686
PHGDH	-0.412426923	0.001154095
RAB13	-0.428980769	0.000930252
APOF	-0.59015	0.000621552
HMGCS1	-0.594519231	0.009050656
CYP1A2	-0.640623077	0.009180626
SNORA22	-0.654434615	0.005792353
