SYMBOL	S0444817	S0446692	S0446738	S0447112	S0447456	S0447671	S0448523	S0449073	S0449358	S0450019	S0450240	S0450317	S0451357	S0451702	S0451862	S0452241	S0452832	S0452883	S0452999	S0453193	S0453583	S0453681	S0453869	S0453908
SCRG1	-1.797455711	0.048579884	-0.166559603	0.173499586	0.64541846	0.853617963	-0.048579884	0.471918874	0.957717715	-0.062459851	-0.957717715	1.360236754	0.652358443	-1.984835264	-0.076339818	0.277599338	-0.062459851	-1.984835264	-1.984835264	0.895257864	-0.326179222	0.46497889	1.124277317	-0.249839404
SFRP1	-0.828551715	-0.487383362	-1.705841766	1.169720068	1.288084599	0.738037662	0.006962619	-0.006962619	0.981729343	-0.870327432	-1.204533165	0.605747892	1.441262227	-1.065280776	0.654486229	-0.362056212	0.006962619	-0.953878865	-2.652758012	0.097476672	-0.786775998	0.062663575	0.452570264	-0.062663575
SPARCL1	-2.004442419	0.029333304	-0.97777679	1.202665451	1.437331881	0.889776879	0.048888839	0.586666074	0.850665807	-0.55733277	-1.466665185	0.782221432	0.860443575	-0.645332681	0.498666163	-0.283555269	-0.029333304	-2.600886261	-1.007110093	0.117333215	-0.811554735	0.117333215	-0.293333037	-0.166222054
TAGLN	-2.19177338	-0.149899473	-0.409185049	0.020256686	0.303850284	-0.149899473	-0.012154011	0.457801094	0.595546556	0.522622488	-1.227555146	0.976372245	0.360569003	-2.386237562	0.012154011	-0.109386102	-0.255234238	-1.859563736	1.243760495	1.470635373	-0.984474919	-0.303850284	0.530725162	0.71708667
VIM	-1.351175937	-1.271106252	-1.211053988	2.432116686	2.432116686	-0.050043553	-0.750653298	0.170148081	0.230200345	-0.230200345	-0.430374558	0.4704094	0.570496507	0.050043553	-0.190165502	-0.4704094	0.290252609	-0.610531349	1.491297886	0.610531349	0.570496507	-1.030897196	0.4704094	-0.250217766
AKR7A3	-0.441319677	0.27740094	0	-0.882639353	-1.248304228	-0.163918737	0.479147078	-0.491756211	1.412222965	0	-2.05528878	-0.31522834	-0.416101409	-1.588750836	0.189137004	-1.109603758	0.403492276	1.04655809	2.710963728	0.226964405	-0.59262928	0.163918737	0.693502349	0.403492276
ANXA10	-2.983377294	1.181886888	-0.292059808	-1.045410342	0.182878572	0.313896056	0.210173881	-1.045410342	-0.472208849	-1.351117805	-1.176427826	0.543176653	0.543176653	-2.186354266	0.057320149	0.013647655	0.739702879	-0.139206077	-0.221092004	0.494045096	-0.073697335	1.323822496	-0.013647655	0.084615458
CA2	-2.0941625	1.223139159	-0.11737194	-0.623924521	-0.111194469	0.543617404	0.704231637	-1.247849041	-0.376825701	-0.704231637	-2.063275147	0.685699226	0.463310288	-1.507302802	0.444777876	-0.074129646	1.031637574	-0.030887353	0.030887353	1.043992515	0.067952176	1.624674742	-0.840135988	0.914265634
CLDN18	-1.710026096	1.008314833	-1.362331326	-1.071532064	0.009482585	0.192812554	0.079021539	-0.749124186	-0.14223877	-2.418059082	-2.424380805	0.445681478	-0.382464247	-0.274994954	-0.211777724	0.401429416	0.673263509	1.254862033	0.57211594	-0.768089355	0.635333171	0.945097602	0.022126031	-0.009482585
DPCR1	-1.234490029	1.842014649	-0.340213787	0.724169348	1.458059089	0.38395556	1.074103529	-0.218708863	0.447138121	-1.234490029	-1.059522938	0.967179196	-1.234490029	-1.234490029	0.082623348	1.195608453	0.874835453	-1.234490029	-1.234490029	-0.082623348	-0.204128272	1.127565696	0.695008166	-0.379095363
GKN1	-2.075981423	0.987390374	-0.82328117	0.191460737	-0.218812271	0.601733746	0.300866873	-0.402067548	0.188725584	-1.176115958	-2.075981423	0.426683929	-1.704000562	-1.047563748	-0.495062764	0.470446383	0.981920067	-2.075981423	-0.853367858	0.708404728	0.092995215	1.173380804	0.076584295	-0.076584295
GKN2	-1.598734886	1.394804804	-0.632952801	-0.275113224	0.067335404	0.57523674	0.544454841	-0.340524759	0.171224314	-0.817644196	-1.598734886	0.67912565	-1.421738966	-1.217808884	-0.532911629	0.759928135	1.110072238	-1.598734886	-1.598734886	1.263981733	0.021162556	1.271677208	-0.021162556	0.355915709
LIPF	-0.761340297	1.625461535	-0.226498738	-0.610975589	-0.262662403	1.760599438	1.166754006	0.363539992	0.034260313	-0.761340297	-0.761340297	1.136300394	-0.728983335	-0.761340297	0.643332551	-0.376863447	1.452256617	-0.671882812	-0.761340297	-0.034260313	1.397059446	1.994711579	1.654011796	1.079199871
MSMB	-1.483547603	0.848777846	-0.837896079	0.246653391	0.4098799	0.55497013	1.193367143	2.045772245	-1.483547603	-0.398998133	-1.483547603	-1.483547603	-1.483547603	-1.483547603	-0.188617299	0.696433105	0.64927878	-0.021763535	0.021763535	0.594869944	0.536833851	0.551342874	-0.616633478	-0.428016179
MT1G	-0.356813708	0.07776709	-0.269897548	-1.189379026	-1.27172065	-0.07776709	-0.237875805	0.15553418	-1.683428775	0.082341625	-1.994497135	-0.489475214	0.63128579	-2.026518878	1.111611935	-1.006397637	0.306493826	-2.081413295	1.11618647	0.416282659	0.178406854	0.677031138	0.416282659	1.047568449
MUC5AC	-2.778301969	0.767935151	-0.043703626	-0.472415391	-0.368359137	-0.193544632	0.285114135	0.168571131	-0.339223386	-1.367299171	-2.778301969	0.368359137	-1.592060679	-2.124828697	0.043703626	0.206031382	0.335061136	0.185220131	-0.859504654	0.247653883	-0.676365648	0.255978384	0.047865877	0.414143889
MUC6	-1.492672648	0.637762769	-0.740351955	-0.063263331	0.032486575	0.189789993	0.901075012	-0.993405279	-0.176111435	0.200048912	-2.744260709	0.022227657	-0.979726721	-2.744260709	0.234245307	0.299218457	-0.022227657	-1.742306332	-0.952369604	0.415486201	-0.340254132	0.5625307	0.326575574	0.480459352
PGA3	-1.041840837	1.474643325	-0.176235861	-0.156563021	-0.817242576	1.441855258	1.089383535	0.363127845	0.156563021	-0.394276509	-0.812324366	1.120532198	-1.027086207	-1.041840837	0.248369609	-0.640187013	1.381197333	-0.553298635	-1.041840837	-0.764781669	1.450052274	1.640223064	1.474643325	0.907409761
PGC	-1.900864261	0.915690486	-0.945469039	-0.255599241	-0.094298749	0.863578019	0.617904962	-0.759353086	-0.124077302	0.126558848	-2.23339143	0.317637892	-1.394628871	-2.07705403	-0.11911421	0.094298749	0.508716937	-1.474038344	-0.330045622	0.347416445	0.684906705	1.310256305	0.672498975	0.394565819
PSCA	-1.527842645	0.208266446	-0.241589077	-1.297916489	-0.058314605	0.704773652	0.181608341	-0.6281316	-0.428195812	-1.951040062	-2.210956587	0.528163706	-0.968022439	-1.934378747	0.058314605	0.431528075	0.921370755	0.408202233	-0.79807702	-0.088304973	0.268247182	1.60781696	0.801409283	0.488176548
REG1A	-1.844009899	0.571408737	-0.719217937	0.264975029	1.382556787	-0.099140317	1.036466952	0.095535215	1.306849635	0.027038268	-1.844009899	1.159040435	-1.040072055	-1.616888445	0.391153615	-0.387548513	0.816555703	-1.13740982	-1.844009899	-0.117165829	-0.556988327	0.200083186	-0.027038268	0.275790337
S100P	0.74895881	0.771769738	-0.794580666	-0.634904169	-0.756562453	0.231911104	-0.003801821	-0.695733311	-0.467624028	0.140667391	-1.08351909	0.247118389	-0.391587601	-3.030051632	0.178685604	0.003801821	0.612093241	-0.041820035	0.726147882	0.604489598	-1.410475728	0.733751524	-1.129140947	2.064389004
SST	-1.521554406	0.403917793	-0.929403078	-0.666660435	-0.333330218	1.227439508	0.670581967	-1.321556275	-0.192155067	0.403917793	-1.521554406	0.031372256	-1.521554406	-1.521554406	0.843129374	0.733326479	0.090195235	-1.521554406	-1.521554406	1.027441377	-0.031372256	0.756855671	0.262742642	1.286262487
TFF1	-2.910084488	1.374275595	0.206265596	-0.708261383	0.250997893	-0.022366149	0.504480915	-0.002485128	-0.101890234	-0.852398787	-0.007455383	0.514421425	-0.698320872	-2.114843637	-0.111830745	0.603886021	0.931922872	0.405075808	0.002485128	1.29475151	-0.221176362	0.946833638	-0.618796787	1.185405893
VSIG1	-2.209045546	1.002384108	-0.351547033	-0.864615676	0.019002542	0.304040677	0.304040677	-0.821859956	-0.593829448	-1.719730081	-2.080778385	0.489315465	0.152020339	-1.211412074	-0.071259534	-0.033254449	0.73159788	0.617582626	-2.209045546	0.484564829	-0.019002542	0.874116947	0.299290042	0.81710932
ATP10B	-0.681397649	0.491240166	0.668720484	-0.377145676	0.288405517	0.567303159	0.13627953	-2.247027597	0.358129927	0.02218504	-2.392815001	0.142618113	-0.186988192	-1.442027583	0.484901583	0.649704735	1.055374034	-2.418169332	0.801830722	-0.117263782	-0.02218504	-0.510255914	-1.061712616	-0.053877954
CCL5	2.266719144	0.676730643	0.216816614	-0.978959862	-0.019710601	0.716151845	0.30879942	-1.452014292	0.203676213	-1.333750685	0.413922626	0.019710601	0.295659019	1.543997098	-0.361361023	-1.399452689	-0.30879942	-0.124833808	-0.190535812	-0.072272205	2.424403954	1.09722347	-0.30879942	-0.46648423
CD52	0.453830106	-0.192005045	-0.139640033	-0.89893271	0.357827583	0.51492262	0.750565175	-0.549832628	-0.08727502	-1.265487795	1.326580309	-0.51492262	0.08727502	3.237903255	0.645835151	-0.261825061	-0.410192596	2.234240521	0.174550041	-0.349100081	1.274215297	0.453830106	-0.08727502	-0.672017657
CD8A	1.470606855	0.281333485	1.074182399	-1.419455313	-0.601030628	0.038363657	0.102303086	-1.035818742	-0.038363657	-0.447575999	-0.191818285	0.524303314	-0.3580608	1.214849141	-0.102303086	-1.841455541	-1.09975817	0.818424685	2.135576912	0.895151999	1.700788798	-0.396424457	-0.703333713	0.217394057
CEACAM6	-1.612829806	0.882210448	0.564117667	0.111829493	-0.211233488	-0.126740093	0.51938587	1.935892787	-0.295726883	-0.912031647	1.399111218	0.574058066	-0.250995085	-1.016405841	-0.111829493	1.20030323	0.912031647	1.066107838	1.051197239	0.355369279	-1.89116099	-0.703283259	-1.379230419	-0.608849464
CXCL10	1.721915632	-0.604022761	0.153259506	-0.009015265	-0.01803053	-0.135228976	-0.306519013	-0.108183181	-0.423717459	0.009015265	1.153953931	-0.189320567	0.486824315	0.99167916	0.045076325	-0.856450183	-0.99167916	0.171290037	2.497228429	1.02774022	2.659503201	0.054091591	-0.216366362	-1.397366088
CXCL9	2.030677564	-0.629424603	0.817397561	-1.142078125	-0.037024977	0.093986479	0.037024977	-0.407274743	0.076898028	-0.048417277	0.988282068	0.464236245	0.543982349	0.954105167	0.492716997	-0.441451644	-0.401578593	0.259174836	-2.321181227	-0.5724631	2.537634936	-0.048417277	-0.766132209	-0.79461296
GBP5	1.736500953	-0.419155402	1.936098763	-1.487003689	-0.518954308	-0.279436935	0.089819015	-0.838310805	0	0.389215731	0.469054855	-0.419155402	-0.059879343	1.017948834	0.119758686	-0.808371133	0	0.019959781	1.656661828	-0.229537482	2.335294384	-0.858270586	-1.347285222	0.029939672
GUCY2C	-1.281688658	0.546456405	1.281688658	-0.109291281	-0.029806713	0.486842979	0.914072531	1.450593365	0.079484568	0.029806713	-1.281688658	0.516649692	0.566327547	-1.142590664	0.864394676	-0.854459105	1.251881945	0.616005401	-1.281688658	-1.281688658	-1.281688658	-1.281688658	-1.281688658	-1.281688658
GZMB	2.446449942	0.103371124	0.539826983	-0.310113373	-0.333084734	-0.183770888	0.298627692	-0.72359787	0.252684971	-0.528341302	0.516855622	-0.597255385	0.24119929	1.320853255	0	-1.297881894	0	-0.96479716	1.895137279	-0.815483314	2.457935623	0.183770888	-0.551312663	-0.562798344
GZMH	1.53461147	0.242850973	0.273853225	-1.183252615	0.149844218	-0.852561928	0.521871241	-0.377194065	0.325523645	-2.537017615	-0.139510134	0.563207576	0.811225592	-0.397862233	-0.180846469	-0.966236851	0.180846469	-0.366859981	-2.537017615	-0.005167042	1.699956813	0.160178302	0.005167042	-0.563207576
HCST	0.948174521	0.076879015	-0.691911137	-1.443617064	0.162300143	1.101932552	-0.281889723	-0.896921845	-0.008542113	-0.452731979	0.572321558	-0.64065846	0.008542113	2.092817637	-0.05979479	-1.904891156	-0.008542113	1.324027485	0.111047466	-0.452731979	2.383249473	0.521068881	0.91400607	-0.298973948
HKDC1	0.335446939	0.419308674	1.413669244	-1.581392714	-0.88653834	-0.646933383	1.473570483	-0.682874126	-0.131782726	-1.150103792	0.5510914	-1.030301314	-0.527130905	-0.682874126	-0.251585204	1.413669244	0.850597596	1.102182801	1.509511227	0.131782726	-1.641293953	0.575051896	-1.114163048	0.599012392
LCN2	1.530566291	0.240387151	0.575103438	-1.658367055	-0.50207443	0.556846186	0.349930663	-1.33582227	-0.04564313	0.721161453	0.04564313	-0.392530918	-2.845088434	-1.414937029	-0.216044148	1.031534737	0.544674684	-1.068049241	0.191701146	-1.208021506	-0.069986133	0.295158907	-1.214107257	0.167358143
LGALS4	-0.636568264	0.197924586	0.64726689	0.048143818	-0.583075133	-0.080239697	0.818444911	-0.839842163	0.048143818	-0.304910849	0.144431455	0.133732829	-0.197924586	-2.733499016	0.347705354	-0.18722596	1.053814689	-0.048143818	1.118006447	0.636568264	-1.642239135	-0.550979254	-1.899006166	1.877608913
MUC17	-2.890987167	0.805915385	0.707518739	0.726260958	0.089025537	-1.321326387	0.59506543	-1.363496379	-0.089025537	-1.415037479	-0.323303265	-0.590379875	0.838714267	-0.590379875	0.290504383	0.908997586	0.819972049	0.773116503	0.393586584	-0.388901029	-1.635258543	-0.834028713	-0.801229831	0.229592174
NKG7	2.289193921	0.027415496	0.712802898	-1.439313543	-0.164492976	-0.438647937	0.603140913	-0.918419118	-0.027415496	-0.589433165	-0.123369732	-0.013707748	0.095954236	1.137743087	0.013707748	-0.90471137	0.013707748	1.069204347	1.987623465	0.877295874	2.535933386	-0.466063433	-0.260447213	-0.260447213
OLFM4	-0.421387475	0.058410145	-0.534035612	-0.271189959	0.646683749	-0.60913437	0.967939547	-1.927534787	0.675888822	-1.255818119	0.033377226	-1.389327022	0.95959524	0.450592548	0.901185095	1.572901764	-0.033377226	-2.069387997	0.321255798	-0.458936854	1.026349692	-0.871980023	-1.255818119	0.95959524
SLC22A18	-0.541355214	0.482028615	1.572154868	-1.015968005	-0.645176762	-0.25955387	0.415286192	0.037079124	-0.541355214	0.47461279	0.170563972	0.007415825	-0.711919186	-1.112373728	-0.400454542	-0.037079124	0.400454542	-0.103821548	3.448358555	0.964057231	-0.47461279	0.430117841	-0.007415825	1.802045439
TMEM45B	-0.174440014	0.072328786	0.795616648	-0.106365862	-0.982820565	-0.77859811	0.336116124	-1.697599158	-0.03829171	0.914746413	0.8636908	-1.195552289	-0.131893669	-2.131571875	-0.242514165	0.650959076	0.744561034	1.153005944	2.020951378	0.03829171	-0.097856593	0.191458552	-1.450830358	1.255117172
APOA2	0	0	0	0	0	4.737511446	0	0	0	0	1.470262173	0	0	0	0	0	0	0	0	0	0	0	0	0
APOH	0	0.752988213	0	0	0	0.715338802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.856773973	0	0
ARID3A	-0.293290461	-0.073322615	-0.293290461	0.061102179	1.160941408	0.598801358	-0.721005717	0.659903537	0.378833512	-0.635462665	-0.134424795	0.611021794	0.329951769	0.745446588	-0.76988746	-0.256629153	0.708785281	0.904312255	-2.676275456	-2.676275456	0.721005717	1.222043587	-0.061102179	-0.525478743
C19orf46	0	2.307222368	0	0	0	1.745359926	0.788998323	0.956361603	0	0	0.872679963	0.908543523	0	0	0	0.717271202	1.183497484	0	0	0	2.008359367	3.275538491	2.761494129	0
CDKN2A	-1.00790019	0.188361675	1.153302185	-0.816233925	-0.492384027	0.142097404	0.194970857	0.756751291	-0.122269859	1.166520548	1.338359269	0.122269859	-0.822843106	-0.340372851	-0.135488222	-0.148706585	-0.703877838	-0.439510575	3.327722924	1.523416353	-0.532039117	-0.538648299	0.611349296	1.153302185
CHST13	-0.998135481	-0.365437581	1.347210185	-0.245443151	-0.529066348	0.529066348	-0.278168905	1.499930368	-0.005454292	-0.998135481	0.005454292	0.7036037	0.48543201	0.398163334	1.543564706	-0.998135481	-0.125448722	0.954501143	-0.998135481	-0.998135481	2.176262606	1.281758678	1.609016213	-0.998135481
DNMT3B	-0.666253389	-0.509487886	0.382115914	0.225350411	0.215552567	-0.254743943	-0.04898922	-0.009797844	0.009797844	0.911199488	-0.225350411	-0.225350411	-0.74463614	-0.783827516	0.117574127	0.117574127	-0.303733163	-0.244946099	3.938733269	1.283517558	0.509487886	-0.068584908	1.175741274	1.616644252
FGB	0	2.22088881	0	0	0	2.12525245	0	0	0	0	0	0.807595931	0	0	0	0	1.79583832	0	0	0	0	3.442908968	2.072121138	0
GGH	0.500345536	0.291868229	0.64627965	0.969419476	0.135510249	-0.594160324	0.229325037	0.552464862	-0.364835286	1.511460473	1.563579799	1.407221819	-0.677551246	-0.64627965	0.615008054	0.375259152	-0.823485361	-1.907567355	-2.397489025	-0.135510249	-0.64627965	-1.052810398	-0.875604688	-0.260596633
GLDC	-0.912444119	0.879856829	-0.06517458	-0.04344972	-0.456222059	0.22811103	0.434497199	-1.748851228	0	0	-0.03258729	0.08689944	-0.934168979	0	-0.06517458	0.467084489	-0.16293645	-0.597433649	3.150104696	1.325216458	-0.29328561	1.346941318	1.390391038	1.455565618
HOXC6	0.949454158	-0.572365982	0.350153306	-0.451159068	-0.538697394	0.767643787	0.451159068	1.111063376	1.663228205	2.41067084	1.299607464	-0.350153306	-1.137998246	-0.23568011	-0.323218437	0.060603457	-0.336685871	1.023525049	2.558812623	-0.060603457	-0.141408066	-0.464626503	-0.370354459	1.683429357
MAGEA12	0	0	0	0	0	0	0	1.465878748	0	0	3.475394647	0.611591796	0	0	0	3.125913621	0	0	0	0	0	0	1.786236355	0
MAGEA3	0	0	0	1.097486734	0.736119151	0.013383985	0	2.064479619	0	0	2.509497106	0	0	1.281516522	0	2.512843102	0	0.70265919	1.542504221	0	0	0	1.726534009	3.041510493
PCSK1N	-1.710546754	0.248162223	-0.562796471	-1.227516712	-0.802095758	0.917313933	0.212710477	-0.075334961	0.354517462	0.212710477	1.586465642	-0.629268495	-1.076846791	-1.706115286	0.23043635	1.205359371	-0.629268495	-1.23194818	1.87451108	0.988217425	-1.059120918	-0.217141945	0.075334961	0.788801353
PEG10	-2.000778193	-0.329539938	-0.557079418	1.286774995	1.106312648	-0.227539481	-0.266770426	1.286774995	0.517848473	-2.000778193	0.196154725	0.298155182	0.133385213	0.46292515	0.894465545	0.455078961	-0.243231859	1.278928806	-2.000778193	-0.298155182	-1.318159751	-0.988619813	0.039230945	-0.039230945
QPRT	-2.110763526	0.064352547	0.128705093	0.476208844	2.342432693	-0.849453614	0.450467826	1.003899726	0.913806161	0.656395974	0.810842086	-0.695007502	0.900935651	-0.244539677	-0.283151205	1.776130284	0.875194633	-0.064352547	-0.476208844	-0.695007502	-0.836583105	-0.579172919	-1.364273986	-0.360374261
RBP4	-1.71838448	1.71838448	-0.468650313	-0.229730545	0.523785644	0.027567665	-0.60648864	-0.229730545	-0.597299418	0.597299418	-0.165405993	0.450271869	1.755141368	-1.81946592	1.479464713	1.038382066	-0.30324432	0.652434749	1.975682691	0.367568873	-1.102706618	-0.358379651	0.064324553	-0.027567665
SALL4	-1.087997088	0.954226954	-0.303212303	-0.82045682	0.312130312	0.303212303	-0.838292838	0.677768678	-0.017836018	1.087997088	1.676585676	0.704522704	-0.383474383	-1.578487578	-0.980980981	0.749112749	0.624260624	0.900718901	-2.042224042	-2.042224042	-0.089180089	0.802620803	0.017836018	-0.214032214
SERPINH1	0.095219774	-1.601423474	-0.718476477	0.75310185	1.48023467	-0.874290653	-1.133980946	0.770414536	-0.683851105	0.701163791	0.11253246	0.995479457	0.354910067	-2.190054805	-0.528036929	0.597287674	-0.701163791	-0.562662302	1.98230257	0.285659322	-0.095219774	-1.341733181	0.38953544	-0.701163791
TF	-0.965179929	-0.179105554	-0.189055862	0.855726535	0.457714193	-0.009950309	0.68657129	0.009950309	-0.597018513	1.054732706	0.159204937	-0.33831049	-0.716422215	-0.447763884	-0.666670672	-0.965179929	0.019900617	0.268658331	3.48260799	-0.965179929	-0.965179929	0.766173758	0.756223449	1.422894122
AIM1	0.99586793	0.587306728	1.583174658	-0.906495167	-0.408561202	-1.276753756	0.651144416	-1.838525409	-0.549004115	-0.600074265	0.893727629	0.191513063	-0.191513063	0.395793664	0.063837688	-1.136310843	1.09800823	-0.063837688	1.544872045	0.612841803	-0.510701502	-1.238451143	-0.446863815	1.966200784
C14orf129	0.27889031	1.097759729	0.955347656	0.017801509	-0.433170055	-0.207684273	0.694258856	-0.243287291	-0.67052351	-1.48939293	0.575582128	-0.255154964	-0.017801509	-0.433170055	0.53997911	0.504376092	0.931612311	-0.041536855	-3.696780061	0.0652722	-0.183948928	0.789200238	-0.255154964	0.990950675
CLDN7	0.626712792	-0.197732913	1.47126693	-0.157516049	-0.868013974	-0.217841345	0.59990155	0.767471815	-0.023459837	1.122720778	0.023459837	-0.237949777	-0.063676701	-1.927058051	0.345194747	0.211138534	0.392114421	-0.043568269	2.537013817	1.162937641	-0.914933649	-0.881419596	-0.552981876	2.181764855
CXCL1	1.535398349	-0.840123625	-0.038626374	0.753214285	-0.318667582	-1.100851647	0.463516483	0.801497252	-0.115879121	0.395920329	0.59870879	0.675961537	0.965659339	0.135192307	0.241414835	0.115879121	-0.492486263	-1.689903844	-0.328324175	-2.452774721	0.038626374	-1.255357141	-2.105137359	-1.004285713
DOCK5	-0.058231947	-0.019410649	0.989943095	-0.989943095	-0.873479202	-0.032351082	0.187636273	-0.291159734	-1.01582396	0.032351082	0.485266223	0.084112812	-0.653491847	-2.581616307	0.342921464	0.459385358	0.109993677	-0.045291514	2.64631847	0.019410649	-1.01582396	-0.032351082	0.575849251	1.75342862
ETHE1	0.60236463	-0.263957534	0.385784089	1.292715105	-1.143815983	-0.277493818	0.453465508	-1.414541659	0.358711521	-1.143815983	-0.913699158	-0.656509765	0.846017739	-1.969529295	0.453465508	-0.873090306	0.304566386	-0.846017739	2.226718688	0.345175237	-1.008453144	0.250421251	-0.250421251	1.414541659
HOXA9	2.80470681	1.224484816	-0.917427461	-0.475564439	-0.453096828	0.947384276	-0.131061066	-0.370715586	0.879981442	1.598945004	0.131061066	0.43811842	-0.730197367	-0.917427461	0.175996288	-0.468075235	0.572924088	-0.565434884	-0.917427461	-0.917427461	0.550456477	1.606434208	0.872492239	-0.917427461
IL20RA	0.660360105	1.578673377	-1.145312058	-0.24763504	-0.412725066	1.506446491	-0.06190876	-0.701632612	-0.907995145	-1.145312058	0.773859499	0.536542586	0.06190876	-1.145312058	0.196044406	0.134135646	0.907995145	-1.145312058	-1.145312058	-1.145312058	0.877040765	1.991398443	0.753223245	-1.145312058
